fn,fnum,objname,filter,trimsec,biassec,fn_otzdf
../Imaging/a086.fits,86,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a086_otzdf.fits
../Imaging/a087.fits,87,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a087_otzdf.fits
../Imaging/a088.fits,88,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a088_otzdf.fits
../Imaging/a089.fits,89,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a089_otzdf.fits
../Imaging/a090.fits,90,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a090_otzdf.fits
../Imaging/a091.fits,91,PG1633+099,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a091_otzdf.fits
../Imaging/a092.fits,92,PG1633+099,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a092_otzdf.fits
../Imaging/a093.fits,93,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a093_otzdf.fits
../Imaging/a094.fits,94,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a094_otzdf.fits
../Imaging/a095.fits,95,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a095_otzdf.fits
../Imaging/a096.fits,96,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a096_otzdf.fits
../Imaging/a097.fits,97,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a097_otzdf.fits
../Imaging/a098.fits,98,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a098_otzdf.fits
../Imaging/a099.fits,99,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a099_otzdf.fits
../Imaging/a100.fits,100,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a100_otzdf.fits
../Imaging/a101.fits,101,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a101_otzdf.fits
../Imaging/a102.fits,102,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a102_otzdf.fits
../Imaging/a103.fits,103,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a103_otzdf.fits
../Imaging/a104.fits,104,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a104_otzdf.fits
../Imaging/a105.fits,105,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a105_otzdf.fits
../Imaging/a106.fits,106,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a106_otzdf.fits
../Imaging/a107.fits,107,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a107_otzdf.fits
../Imaging/a108.fits,108,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a108_otzdf.fits
../Imaging/a109.fits,109,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a109_otzdf.fits
../Imaging/a110.fits,110,BIAS,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a110_otzdf.fits
